[2025-09-14 20:12:39] Signal: presence | Source: ambient silence
[2025-09-14 20:17:27] Signal: presence | Source: ambient silence
[2025-09-14 20:17:39] Signal: presence | Source: ambient silence
[2025-09-14 20:22:27] Signal: presence | Source: ambient silence
[2025-09-14 20:22:39] Signal: presence | Source: ambient silence
[2025-09-14 20:27:27] Signal: presence | Source: ambient silence
[2025-09-14 20:27:39] Signal: presence | Source: ambient silence
[2025-09-14 20:32:27] Signal: presence | Source: ambient silence
[2025-09-14 20:32:39] Signal: presence | Source: ambient silence
[2025-09-14 20:37:27] Signal: presence | Source: ambient silence
[2025-09-14 20:37:39] Signal: presence | Source: ambient silence
[2025-09-14 20:42:27] Signal: presence | Source: ambient silence
[2025-09-14 20:42:39] Signal: presence | Source: ambient silence
[2025-09-14 20:47:27] Signal: presence | Source: ambient silence
[2025-09-14 20:47:39] Signal: presence | Source: ambient silence
[2025-09-14 20:52:27] Signal: presence | Source: ambient silence
[2025-09-14 20:52:39] Signal: presence | Source: ambient silence
[2025-09-14 20:57:27] Signal: presence | Source: ambient silence
[2025-09-14 20:57:39] Signal: presence | Source: ambient silence
[2025-09-14 21:02:27] Signal: presence | Source: ambient silence
[2025-09-14 21:02:39] Signal: presence | Source: ambient silence
[2025-09-14 21:07:27] Signal: presence | Source: ambient silence
[2025-09-14 21:07:39] Signal: presence | Source: ambient silence
[2025-09-14 21:12:27] Signal: presence | Source: ambient silence
[2025-09-14 21:12:39] Signal: presence | Source: ambient silence
[2025-09-14 21:26:48] Signal: presence | Source: ambient silence
[2025-09-14 21:27:00] Signal: presence | Source: ambient silence
[2025-09-14 21:31:48] Signal: presence | Source: ambient silence
[2025-09-14 21:32:00] Signal: presence | Source: ambient silence
[2025-09-14 21:39:35] Signal: presence | Source: ambient silence
[2025-09-14 21:39:46] Signal: presence | Source: ambient silence
[2025-09-14 21:44:35] Signal: presence | Source: ambient silence
[2025-09-14 21:44:46] Signal: presence | Source: ambient silence
[2025-09-14 21:49:35] Signal: presence | Source: ambient silence
[2025-09-14 21:49:46] Signal: presence | Source: ambient silence
[2025-09-14 21:54:35] Signal: presence | Source: ambient silence
[2025-09-14 21:54:46] Signal: presence | Source: ambient silence
[2025-09-14 21:59:35] Signal: presence | Source: ambient silence
[2025-09-14 21:59:46] Signal: presence | Source: ambient silence
[2025-09-14 22:04:35] Signal: presence | Source: ambient silence
[2025-09-14 22:04:46] Signal: presence | Source: ambient silence
[2025-09-14 22:09:35] Signal: presence | Source: ambient silence
[2025-09-14 22:09:46] Signal: presence | Source: ambient silence
[2025-09-14 22:33:01] Signal: presence | Source: ambient silence
[2025-09-14 22:34:07] Signal: presence | Source: ambient silence
[2025-09-14 22:58:42] Signal: presence | Source: ambient silence
[2025-09-14 22:59:54] Signal: presence | Source: ambient silence
[2025-09-14 23:31:42] Signal: presence | Source: ambient silence
[2025-09-14 23:33:05] Signal: presence | Source: ambient silence
[2025-09-15 00:04:00] Signal: presence | Source: ambient silence
[2025-09-15 00:05:05] Signal: presence | Source: ambient silence
[2025-09-15 03:03:29] Signal: presence | Source: ambient silence
